scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
DUP-009,REC-BNK-001,BNK-65e9a1fe-001,ORD-65e9a1fe-B,8980.00,2026-08-06,Reconciliation entry
TDLY-009,REC-BNK-001,BNK-c326288b-001,ORD-c326288b,1030.00,2026-08-02,Commission disbursement
TDLY-013,REC-BNK-001,BNK-0465f6fb-001,ORD-0465f6fb,20320.00,2026-08-03,Reconciliation entry
DUP-007,REC-BNK-001,BNK-a6510367-001,ORD-a6510367-B,2710.00,2026-08-06,Adjustment entry
SPLT-009,REC-BNK-002,BNK-f179c21c-002,ORD-f179c21c-C,5335.00,2026-08-02,Refund processing
FEE-010,REC-BNK-001,BNK-34fc9ed2-001,ORD-34fc9ed2-B,10415.00,2026-08-02,Invoice settlement
RND-012,REC-BNK-001,BNK-3f7168a2-001,ORD-3f7168a2-B,10787.50,2026-08-01,Online payment
SPLT-006,REC-BNK-001,BNK-14acf163-001,ORD-14acf163-B,7760.00,2026-08-02,Settlement transfer
REFD-003,REC-BNK-001,BNK-1bbf0ece-001,ORD-1bbf0ece-B,2490.00,2026-08-02,Payment gateway transfer
EXACT-009,REC-BNK-001,BNK-ca6681b0-001,ORD-ca6681b0,830.00,2026-08-01,Invoice settlement
FEE-004,REC-BNK-001,BNK-2c1ae13a-001,ORD-2c1ae13a-B,5345.00,2026-08-01,Adjustment entry
DUP-004,REC-BNK-001,BNK-c97f6b3e-001,ORD-c97f6b3e-B,2180.00,2026-08-06,Online payment
RND-007,REC-BNK-001,BNK-c7226560-001,ORD-c7226560-B,2230.02,2026-08-01,Wallet transfer
NARR-010,REC-BNK-001,BNK-241914d6-001,ORD-241914d6-B,6890.00,2026-08-14,Transfer mentioning ORD-241914d6-B
DUP-005,REC-BNK-001,BNK-0ac2a8bc-001,ORD-0ac2a8bc-B,2940.00,2026-08-06,Direct deposit
RND-004,REC-BNK-001,BNK-9a816ea2-001,ORD-9a816ea2-B,2200.02,2026-08-02,Direct deposit
REFD-005,REC-BNK-001,BNK-f1533c72-001,ORD-f1533c72-B,5310.00,2026-08-01,Invoice settlement
SPLT-007,REC-BNK-001,BNK-894b0bfa-001,ORD-894b0bfa-B,7765.00,2026-08-02,Settlement transfer
FEE-011,REC-BNK-001,BNK-446a22be-001,ORD-446a22be-B,1685.00,2026-08-02,Payment gateway transfer
EXACT-004,REC-BNK-001,BNK-e91bc649-001,ORD-e91bc649,10030.00,2026-08-01,Adjustment entry
EXACT-012,REC-BNK-001,BNK-378877a2-001,ORD-378877a2,20110.00,2026-08-01,UPI transaction
REFD-002,REC-BNK-001,BNK-7409bf96-001,ORD-7409bf96-B,19980.00,2026-08-02,Commission disbursement
