scenario_ref,synthetic_ref,order_id,gross_amount,transaction_date,narration
NARR-006,REC-LED-001,ORD-b3af4805-B,3850.00,2026-08-17,Ledger entry for ORD-b3af4805-B
RND-011,REC-LED-001,ORD-49d1e863-B,2275.00,2026-08-01,Card settlement
EXACT-002,REC-LED-001,ORD-7bd4c3f4,1010.00,2026-08-02,Adjustment entry
TDLY-005,REC-LED-001,ORD-2c9359c2,10240.00,2026-08-02,Client remittance
TDLY-011,REC-LED-001,ORD-861584ae,1300.00,2026-08-03,Card settlement
NARR-003,REC-LED-001,ORD-3c72fba1-B,2320.00,2026-08-14,Ledger entry for ORD-3c72fba1-B
NARR-004,REC-LED-001,ORD-532d48e6-B,3330.00,2026-08-20,Ledger entry for ORD-532d48e6-B
EXACT-008,REC-LED-001,ORD-b9f09f3a,2070.00,2026-08-02,Online payment
NARR-009,REC-LED-001,ORD-58eeb801-B,21880.00,2026-08-18,Ledger entry for ORD-58eeb801-B
NARR-005,REC-LED-001,ORD-0905fa98-B,4340.00,2026-08-15,Ledger entry for ORD-0905fa98-B
EXACT-014,REC-LED-001,ORD-e5fbe318,10130.00,2026-08-01,Monthly subscription fee
LATE-001,REC-LED-001,ORD-a2284beb-B,2600.00,2026-08-11,Monthly subscription fee
EXACT-016,REC-LED-001,ORD-a44aba41,5150.00,2026-08-01,Wallet transfer
NARR-002,REC-LED-001,ORD-e65f51d5-B,3310.00,2026-08-16,Ledger entry for ORD-e65f51d5-B
EXACT-003,REC-LED-001,ORD-70e3a430,2020.00,2026-08-01,Direct deposit
EXACT-005,REC-LED-001,ORD-7bc992f4,2540.00,2026-08-01,Payment for services rendered
TDLY-007,REC-LED-001,ORD-c4758588,10260.00,2026-08-03,Direct deposit
EXACT-018,REC-LED-001,ORD-aa10f749,2170.00,2026-08-01,Order fulfillment payment
TDLY-010,REC-LED-001,ORD-3ea4caaa,1290.00,2026-08-02,Monthly subscription fee
NARR-008,REC-LED-001,ORD-3f2c353d-B,3870.00,2026-08-20,Ledger entry for ORD-3f2c353d-B
LATE-003,REC-LED-001,ORD-d69cad2d-B,2120.00,2026-08-08,Refund processing
UNQ-001,REC-LED-001,ORD-e76bdb90,2500.00,2026-08-01,Payment gateway transfer
LATE-008,REC-LED-001,ORD-b5f7b21a-B,2670.00,2026-08-11,Invoice settlement
EXACT-007,REC-LED-001,ORD-cf69bbc0,1060.00,2026-08-02,Wire transfer
TDLY-001,REC-LED-001,ORD-69af1390,1200.00,2026-08-02,Commission disbursement
RND-009,REC-LED-001,ORD-8f3dbdfd-B,2010.00,2026-08-01,Commission disbursement
RND-008,REC-LED-001,ORD-d1dd4c32-B,5740.05,2026-08-02,Online payment
TDLY-006,REC-LED-001,ORD-622bee1a,1250.00,2026-08-03,Adjustment entry
TDLY-002,REC-LED-001,ORD-f9b903bb,7710.00,2026-08-02,Vendor payout
UNQ-008,REC-LED-001,ORD-112eed84,3570.00,2026-08-01,Wire transfer
LATE-002,REC-LED-001,ORD-6e8595f5-B,2610.00,2026-08-08,Refund processing
TDLY-008,REC-LED-001,ORD-22625454,1020.00,2026-08-02,Payment gateway transfer
LATE-004,REC-LED-001,ORD-f02eb125-B,2630.00,2026-08-08,UPI transaction
EXACT-001,REC-LED-001,ORD-28b14c40,500.00,2026-08-01,Refund processing
TDLY-015,REC-LED-001,ORD-20d3092d,1340.00,2026-08-03,Client remittance
TDLY-003,REC-LED-001,ORD-0cd9fe67,1720.00,2026-08-02,Wallet transfer
LATE-009,REC-LED-001,ORD-dca544be-B,3180.00,2026-08-15,Direct deposit
LATE-006,REC-LED-001,ORD-f5c7a9da-B,21150.00,2026-08-06,Monthly subscription fee
