scenario_ref,synthetic_ref,settlement_id,order_id,gross_amount,settlement_date,narration
FEE-003,REC-SET-001,SET-6f955b89-001,ORD-6f955b89-A,1120.00,2026-08-01,Refund processing
LATE-001,REC-SET-001,SET-a2284beb-001,ORD-a2284beb-A,2600.00,2026-08-01,Monthly subscription fee
EXACT-012,REC-SET-001,SET-378877a2-001,ORD-378877a2,860.00,2026-08-01,Settlement transfer
REFD-010,REC-SET-001,SET-1dd8d14a-001,ORD-1dd8d14a-A,1310.00,2026-08-01,Refund processing
TDLY-002,REC-SET-001,SET-f9b903bb-001,ORD-f9b903bb,960.00,2026-08-01,Client remittance
DUP-004,REC-SET-002,SET-c97f6b3e-002,ORD-c97f6b3e,8430.00,2026-08-01,Payment gateway transfer
EXACT-004,REC-SET-001,SET-e91bc649-001,ORD-e91bc649,1280.00,2026-08-01,Online payment
FEE-006,REC-SET-001,SET-c41aa819-001,ORD-c41aa819-A,10400.00,2026-08-01,Refund processing
SPLT-009,REC-SET-001,SET-f179c21c-001,ORD-f179c21c-A,1900.00,2026-08-01,Adjustment entry
FEE-001,REC-SET-001,SET-408762a0-001,ORD-408762a0-A,1600.00,2026-08-01,Payment gateway transfer
REFD-003,REC-SET-001,SET-1bbf0ece-001,ORD-1bbf0ece-A,2990.00,2026-08-01,Vendor payout
DUP-003,REC-SET-002,SET-dc1c3ad0-002,ORD-dc1c3ad0,5920.00,2026-08-01,Monthly subscription fee
EXACT-005,REC-SET-001,SET-7bc992f4-001,ORD-7bc992f4,2540.00,2026-08-01,Refund processing
FEE-011,REC-SET-001,SET-446a22be-001,ORD-446a22be-A,2950.00,2026-08-01,Adjustment entry
TDLY-004,REC-SET-001,SET-66369e54-001,ORD-66369e54,1730.00,2026-08-01,Card settlement
DUP-005,REC-SET-001,SET-0ac2a8bc-001,ORD-0ac2a8bc,15940.00,2026-08-01,Reconciliation entry
TDLY-006,REC-SET-001,SET-622bee1a-001,ORD-622bee1a,1250.00,2026-08-01,ACH credit
TDLY-014,REC-SET-001,SET-baac309e-001,ORD-baac309e,7830.00,2026-08-01,Commission disbursement
FEE-008,REC-SET-001,SET-be1a1409-001,ORD-be1a1409-A,2920.00,2026-08-01,ACH credit
TDLY-008,REC-SET-001,SET-22625454-001,ORD-22625454,10270.00,2026-08-01,Commission disbursement
DUP-010,REC-SET-001,SET-69656163-001,ORD-69656163,1740.00,2026-08-01,Wire transfer
DUP-005,REC-SET-002,SET-0ac2a8bc-002,ORD-0ac2a8bc,15940.00,2026-08-01,Refund processing
DUP-001,REC-SET-001,SET-ea95ce4e-001,ORD-ea95ce4e,2400.00,2026-08-01,Commission disbursement
NARR-006,REC-SET-001,SET-b3af4805-001,ORD-b3af4805-A,15850.00,2026-08-01,Payment related to ORD-b3af4805-A
RND-007,REC-SET-001,SET-c7226560-001,ORD-c7226560-A,3230.00,2026-08-01,Adjustment entry
LATE-003,REC-SET-001,SET-d69cad2d-001,ORD-d69cad2d-A,2120.00,2026-08-01,Settlement transfer
EXACT-016,REC-SET-001,SET-a44aba41-001,ORD-a44aba41,650.00,2026-08-01,Refund processing
RND-013,REC-SET-001,SET-fc54b166-001,ORD-fc54b166-A,3290.00,2026-08-01,Payment gateway transfer
EXACT-014,REC-SET-001,SET-e5fbe318-001,ORD-e5fbe318,20130.00,2026-08-01,Monthly subscription fee
RND-006,REC-SET-001,SET-b01de657-001,ORD-b01de657-A,1720.00,2026-08-01,Wire transfer
REFD-005,REC-SET-001,SET-f1533c72-001,ORD-f1533c72-A,20510.00,2026-08-01,Card settlement
REFD-006,REC-SET-001,SET-c6d4f778-001,ORD-c6d4f778-A,1770.00,2026-08-01,Commission disbursement
NARR-003,REC-SET-001,SET-3c72fba1-001,ORD-3c72fba1-A,2820.00,2026-08-01,Payment related to ORD-3c72fba1-A
EXACT-017,REC-SET-001,SET-c83d6f90-001,ORD-c83d6f90,1660.00,2026-08-01,Monthly subscription fee
TDLY-013,REC-SET-001,SET-0465f6fb-001,ORD-0465f6fb,7820.00,2026-08-01,Vendor payout
FEE-009,REC-SET-001,SET-8f5fbd01-001,ORD-8f5fbd01-A,930.00,2026-08-01,Payment gateway transfer
SPLT-005,REC-SET-001,SET-85e11505-001,ORD-85e11505-A,2110.00,2026-08-01,Bank credit
RND-011,REC-SET-001,SET-49d1e863-001,ORD-49d1e863-A,3270.00,2026-08-01,Payment gateway transfer
FEE-012,REC-SET-001,SET-a523cc54-001,ORD-a523cc54-A,1210.00,2026-08-01,Card settlement
LATE-004,REC-SET-001,SET-f02eb125-001,ORD-f02eb125-A,1880.00,2026-08-01,Wire transfer
SPLT-003,REC-SET-001,SET-eb34da40-001,ORD-eb34da40-A,1840.00,2026-08-01,Settlement transfer
REFD-004,REC-SET-001,SET-f0b43f03-001,ORD-f0b43f03-A,3000.00,2026-08-01,ACH credit
RND-010,REC-SET-001,SET-c5dc7048-001,ORD-c5dc7048-A,2760.00,2026-08-01,Monthly subscription fee
TDLY-012,REC-SET-001,SET-a6e169e2-001,ORD-a6e169e2,1060.00,2026-08-01,Card settlement
LATE-010,REC-SET-001,SET-66c48a34-001,ORD-66c48a34-A,3690.00,2026-08-01,Settlement transfer
EXACT-019,REC-SET-001,SET-51b0a977-001,ORD-51b0a977,1680.00,2026-08-01,Client remittance
LATE-002,REC-SET-001,SET-6e8595f5-001,ORD-6e8595f5-A,2610.00,2026-08-01,Payment gateway transfer
TDLY-015,REC-SET-001,SET-20d3092d-001,ORD-20d3092d,5340.00,2026-08-01,Online payment
EXACT-011,REC-SET-001,SET-0f156a6f-001,ORD-0f156a6f,600.00,2026-08-01,Refund processing
DUP-007,REC-SET-002,SET-a6510367-002,ORD-a6510367,10960.00,2026-08-01,ACH credit
EXACT-006,REC-SET-001,SET-974dfe1a-001,ORD-974dfe1a,1050.00,2026-08-01,Wire transfer
RND-008,REC-SET-001,SET-d1dd4c32-001,ORD-d1dd4c32-A,1240.00,2026-08-01,Refund processing
TDLY-010,REC-SET-001,SET-3ea4caaa-001,ORD-3ea4caaa,790.00,2026-08-01,Order fulfillment payment
REFD-007,REC-SET-001,SET-a0fc54b4-001,ORD-a0fc54b4-A,20530.00,2026-08-01,Invoice settlement
FEE-010,REC-SET-001,SET-34fc9ed2-001,ORD-34fc9ed2-A,1690.00,2026-08-01,Card settlement
EXACT-010,REC-SET-001,SET-a145d82e-001,ORD-a145d82e,7590.00,2026-08-01,Reconciliation entry
DUP-008,REC-SET-002,SET-ac78a0e5-002,ORD-ac78a0e5,15970.00,2026-08-01,Commission disbursement
EXACT-009,REC-SET-001,SET-ca6681b0-001,ORD-ca6681b0,20080.00,2026-08-01,ACH credit
RND-002,REC-SET-001,SET-29c2bcba-001,ORD-29c2bcba-A,1180.00,2026-08-01,Monthly subscription fee
NARR-008,REC-SET-001,SET-3f2c353d-001,ORD-3f2c353d-A,2120.00,2026-08-01,Payment related to ORD-3f2c353d-A
