scenario_ref,synthetic_ref,order_id,gross_amount,transaction_date,narration
EXACT-015,REC-LED-001,ORD-45f25bd4,5140.00,2026-08-01,Payment gateway transfer
NARR-005,REC-LED-001,ORD-0905fa98-B,21840.00,2026-08-19,Ledger entry for ORD-0905fa98-B
EXACT-012,REC-LED-001,ORD-378877a2,860.00,2026-08-02,Bank credit
RND-004,REC-LED-001,ORD-9a816ea2-B,2200.03,2026-08-01,Refund processing
EXACT-020,REC-LED-001,ORD-7b352f8e,2690.00,2026-08-02,Refund processing
TDLY-005,REC-LED-001,ORD-2c9359c2,1740.00,2026-08-02,Wire transfer
TDLY-009,REC-LED-001,ORD-c326288b,7780.00,2026-08-02,Direct deposit
NARR-006,REC-LED-001,ORD-b3af4805-B,16850.00,2026-08-16,Ledger entry for ORD-b3af4805-B
TDLY-007,REC-LED-001,ORD-c4758588,1260.00,2026-08-02,Online payment
LATE-004,REC-LED-001,ORD-f02eb125-B,1880.00,2026-08-15,Card settlement
TDLY-002,REC-LED-001,ORD-f9b903bb,960.00,2026-08-02,Wallet transfer
NARR-010,REC-LED-001,ORD-241914d6-B,5390.00,2026-08-11,Ledger entry for ORD-241914d6-B
TDLY-010,REC-LED-001,ORD-3ea4caaa,790.00,2026-08-03,Refund processing
LATE-009,REC-LED-001,ORD-dca544be-B,2430.00,2026-08-11,Payment for services rendered
EXACT-005,REC-LED-001,ORD-7bc992f4,2540.00,2026-08-02,Payment for services rendered
EXACT-008,REC-LED-001,ORD-b9f09f3a,820.00,2026-08-02,Invoice settlement
EXACT-010,REC-LED-001,ORD-a145d82e,7590.00,2026-08-01,Monthly subscription fee
TDLY-014,REC-LED-001,ORD-baac309e,7830.00,2026-08-03,Bank credit
RND-005,REC-LED-001,ORD-3b1da642-B,15710.01,2026-08-01,Refund processing
RND-001,REC-LED-001,ORD-0c3aee51-B,15670.03,2026-08-02,Card settlement
EXACT-011,REC-LED-001,ORD-0f156a6f,600.00,2026-08-01,Refund processing
RND-013,REC-LED-001,ORD-fc54b166-B,3295.00,2026-08-01,Settlement transfer
TDLY-006,REC-LED-001,ORD-622bee1a,1250.00,2026-08-02,Online payment
UNQ-010,REC-LED-001,ORD-1dfb9ce8,6090.00,2026-08-01,Refund processing
LATE-007,REC-LED-001,ORD-a165ec28-B,1660.00,2026-08-11,Wire transfer
UNQ-006,REC-LED-001,ORD-53dbb9d4,3550.00,2026-08-01,ACH credit
NARR-003,REC-LED-001,ORD-3c72fba1-B,3820.00,2026-08-12,Ledger entry for ORD-3c72fba1-B
NARR-009,REC-LED-001,ORD-58eeb801-B,17880.00,2026-08-13,Ledger entry for ORD-58eeb801-B
TDLY-003,REC-LED-001,ORD-0cd9fe67,970.00,2026-08-03,Online payment
TDLY-008,REC-LED-001,ORD-22625454,10270.00,2026-08-02,Vendor payout
NARR-008,REC-LED-001,ORD-3f2c353d-B,3120.00,2026-08-21,Ledger entry for ORD-3f2c353d-B
UNQ-007,REC-LED-001,ORD-0ae1a9d6,2060.00,2026-08-01,Direct deposit
RND-003,REC-LED-001,ORD-a223c181-B,10690.07,2026-08-01,Invoice settlement
LATE-001,REC-LED-001,ORD-a2284beb-B,2600.00,2026-08-15,Refund processing
LATE-006,REC-LED-001,ORD-f5c7a9da-B,3650.00,2026-08-22,Direct deposit
EXACT-013,REC-LED-001,ORD-2720e289,1120.00,2026-08-01,Adjustment entry
EXACT-006,REC-LED-001,ORD-974dfe1a,1050.00,2026-08-02,Client remittance
TDLY-013,REC-LED-001,ORD-0465f6fb,7820.00,2026-08-03,Commission disbursement
UNQ-004,REC-LED-001,ORD-126070a1,8530.00,2026-08-01,Payment gateway transfer
UNQ-005,REC-LED-001,ORD-a7c2ca67,6040.00,2026-08-01,Online payment
RND-010,REC-LED-001,ORD-c5dc7048-B,2765.00,2026-08-02,Online payment
EXACT-018,REC-LED-001,ORD-aa10f749,15170.00,2026-08-02,Client remittance
