scenario_ref,synthetic_ref,settlement_id,order_id,gross_amount,settlement_date,narration
FEE-003,REC-SET-001,SET-FEE-003-001,ORD-FEE-003-A,1120.00,2026-08-01,Refund processing
LATE-001,REC-SET-001,SET-LATE-001-001,ORD-LATE-001-A,2600.00,2026-08-01,Monthly subscription fee
EXACT-012,REC-SET-001,SET-EXACT-012-001,ORD-EXACT-012,860.00,2026-08-01,Settlement transfer
REFD-010,REC-SET-001,SET-REFD-010-001,ORD-REFD-010-A,1310.00,2026-08-01,Refund processing
TDLY-002,REC-SET-001,SET-TDLY-002-001,ORD-TDLY-002,960.00,2026-08-01,Client remittance
DUP-004,REC-SET-002,SET-DUP-004-002,ORD-DUP-004,8430.00,2026-08-01,Payment gateway transfer
EXACT-004,REC-SET-001,SET-EXACT-004-001,ORD-EXACT-004,1280.00,2026-08-01,Online payment
FEE-006,REC-SET-001,SET-FEE-006-001,ORD-FEE-006-A,10400.00,2026-08-01,Refund processing
SPLT-009,REC-SET-001,SET-SPLT-009-001,ORD-SPLT-009-A,1900.00,2026-08-01,Adjustment entry
FEE-001,REC-SET-001,SET-FEE-001-001,ORD-FEE-001-A,1600.00,2026-08-01,Payment gateway transfer
REFD-003,REC-SET-001,SET-REFD-003-001,ORD-REFD-003-A,2990.00,2026-08-01,Vendor payout
DUP-003,REC-SET-002,SET-DUP-003-002,ORD-DUP-003,5920.00,2026-08-01,Monthly subscription fee
EXACT-005,REC-SET-001,SET-EXACT-005-001,ORD-EXACT-005,2540.00,2026-08-01,Refund processing
FEE-011,REC-SET-001,SET-FEE-011-001,ORD-FEE-011-A,2950.00,2026-08-01,Adjustment entry
TDLY-004,REC-SET-001,SET-TDLY-004-001,ORD-TDLY-004,1730.00,2026-08-01,Card settlement
DUP-005,REC-SET-001,SET-DUP-005-001,ORD-DUP-005,15940.00,2026-08-01,Reconciliation entry
TDLY-006,REC-SET-001,SET-TDLY-006-001,ORD-TDLY-006,1250.00,2026-08-01,ACH credit
TDLY-014,REC-SET-001,SET-TDLY-014-001,ORD-TDLY-014,7830.00,2026-08-01,Commission disbursement
FEE-008,REC-SET-001,SET-FEE-008-001,ORD-FEE-008-A,2920.00,2026-08-01,ACH credit
